epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.4357,1.48984,2.14227,1.77233,0.18672,0.13314,0.07734,0.02354,1.89944,39.4127,2.5275,0.0673841,0.000496689,0.000496689
2,49.5977,1.61919,2.09393,1.86873,0.26202,0.32249,0.18302,0.08348,1.86908,9.57108,2.33734,0.0345425,0.000988466,0.000988466
3,73.3359,1.56081,2.02274,1.8128,0.40702,0.3432,0.30586,0.14089,1.66773,2.24411,1.96896,0.00169274,0.00147199,0.00147199
4,96.9782,1.47501,1.81301,1.7399,0.48621,0.45858,0.39573,0.19707,1.55534,2.05874,1.87062,0.00146287,0.00146287,0.00146287
5,120.657,1.33918,1.64587,1.62007,0.48317,0.36686,0.3704,0.2005,1.47634,2.19336,1.78161,0.0014505,0.0014505,0.0014505
6,144.232,1.26621,1.49427,1.57336,0.58791,0.5065,0.53479,0.30562,1.43689,1.74291,1.77637,0.00143812,0.00143812,0.00143812
7,168.092,1.22987,1.39814,1.524,0.67556,0.55917,0.64405,0.38304,1.35099,1.47322,1.70652,0.00142575,0.00142575,0.00142575
8,191.785,1.13273,1.26307,1.46134,0.68454,0.59705,0.6575,0.37502,1.26573,1.51304,1.6176,0.00141338,0.00141338,0.00141338
9,215.625,1.06431,1.18436,1.40136,0.62091,0.58284,0.58403,0.36293,1.42051,1.50009,1.76721,0.001401,0.001401,0.001401
10,239.161,1.00347,1.07334,1.34733,0.69689,0.6213,0.66047,0.39056,1.2854,1.37266,1.68783,0.00138863,0.00138863,0.00138863
11,262.865,0.98044,1.02543,1.33444,0.58327,0.67084,0.64551,0.38973,1.33201,1.37413,1.65864,0.00137625,0.00137625,0.00137625
12,286.553,0.91924,0.9497,1.29003,0.72237,0.56195,0.67247,0.42849,1.25038,1.30775,1.61067,0.00136388,0.00136388,0.00136388
